{ MODE: { MODE_0: 0, MODE_1: 1, MODE_2: 2, MODE_3: 3 },
  CS: { none: 64, high: 4, low: 0 },
  ORDER: { msb: false, lsb: true },
  Spi: [Function: Spi] }
8322 'v2'
Spi { _spi: _spi {}, device: '/dev/spidev0.0' }
writeCommand 4
writeCommand 0
writeData 175
writeCommand 48
writeData 58
writeCommand 1
writeData 3
writeData 0
writeData 43
writeData 43
writeData 9
writeCommand 6
writeData 7
writeData 7
writeData 23
writeCommand 248
writeData 96
writeData 165
writeCommand 248
writeData 137
writeData 165
writeCommand 248
writeData 144
writeData 0
writeCommand 248
writeData 147
writeData 42
writeCommand 248
writeData 115
writeData 65
writeCommand 130
writeData 18
writeCommand 80
writeData 135
writeCommand 32
writeData 0
writeData 0
writeData 0
writeData 26
writeData 26
writeData 0
writeData 0
writeData 1
writeData 0
writeData 10
writeData 10
writeData 0
writeData 0
writeData 8
writeData 0
writeData 14
writeData 1
writeData 14
writeData 1
writeData 16
writeData 0
writeData 10
writeData 10
writeData 0
writeData 0
writeData 8
writeData 0
writeData 4
writeData 16
writeData 0
writeData 0
writeData 5
writeData 0
writeData 3
writeData 14
writeData 0
writeData 0
writeData 10
writeData 0
writeData 35
writeData 0
writeData 0
writeData 0
writeData 1
writeCommand 33
writeData 144
writeData 26
writeData 26
writeData 0
writeData 0
writeData 1
writeData 64
writeData 10
writeData 10
writeData 0
writeData 0
writeData 8
writeData 132
writeData 14
writeData 1
writeData 14
writeData 1
writeData 16
writeData 128
writeData 10
writeData 10
writeData 0
writeData 0
writeData 8
writeData 0
writeData 4
writeData 16
writeData 0
writeData 0
writeData 5
writeData 0
writeData 3
writeData 14
writeData 0
writeData 0
writeData 10
writeData 0
writeData 35
writeData 0
writeData 0
writeData 0
writeData 1
writeCommand 34
writeData 160
writeData 26
writeData 26
writeData 0
writeData 0
writeData 1
writeData 0
writeData 10
writeData 10
writeData 0
writeData 0
writeData 8
writeData 132
writeData 14
writeData 1
writeData 14
writeData 1
writeData 16
writeData 144
writeData 10
writeData 10
writeData 0
writeData 0
writeData 8
writeData 176
writeData 4
writeData 16
writeData 0
writeData 0
writeData 5
writeData 176
writeData 3
writeData 14
writeData 0
writeData 0
writeData 10
writeData 192
writeData 35
writeData 0
writeData 0
writeData 0
writeData 1
writeCommand 35
writeData 144
writeData 26
writeData 26
writeData 0
writeData 0
writeData 1
writeData 64
writeData 10
writeData 10
writeData 0
writeData 0
writeData 8
writeData 132
writeData 14
writeData 1
writeData 14
writeData 1
writeData 16
writeData 128
writeData 10
writeData 10
writeData 0
writeData 0
writeData 8
writeData 0
writeData 4
writeData 16
writeData 0
writeData 0
writeData 5
writeData 0
writeData 3
writeData 14
writeData 0
writeData 0
writeData 10
writeData 0
writeData 35
writeData 0
writeData 0
writeData 0
writeData 1
writeCommand 36
writeData 144
writeData 26
writeData 26
writeData 0
writeData 0
writeData 1
writeData 32
writeData 10
writeData 10
writeData 0
writeData 0
writeData 8
writeData 132
writeData 14
writeData 1
writeData 14
writeData 1
writeData 16
writeData 16
writeData 10
writeData 10
writeData 0
writeData 0
writeData 8
writeData 0
writeData 4
writeData 16
writeData 0
writeData 0
writeData 5
writeData 0
writeData 3
writeData 14
writeData 0
writeData 0
writeData 10
writeData 0
writeData 35
writeData 0
writeData 0
writeData 0
writeData 1
writeCommand 22
writeData 0
